Note	Duration
Es	0.5
D5	0.25
D5	0.25
D5	0.375
C5	0.125
C5	0.375
A#4	0.125
A#4	0.375
A4	0.125
A4	0.375
G4	0.125
G4	0.25
F4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
Es	0.5
D5	0.25
D5	0.25
D5	0.375
C5	0.125
C5	0.375
A#4	0.125
A#4	0.375
A4	0.125
A4	0.375
G4	0.125
G4	0.25
F4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
G4	0.25
G4	0.5
A4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.25
C4	0.5
D4	0.25
D#4>	0.25
F4	0.5
G4	0.5
Es	0.25
D5	0.25
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
Es	0.5
D4	0.25
D#4>	0.25
F4	0.5
G4	0.5
Es	0.25
D5	0.25
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
Es	0.5
D5	0.25
D5	0.25
D5	0.375
C5	0.125
C5	0.375
A#4	0.125
A#4	0.375
A4	0.125
A4	0.375
G4	0.125
G4	0.25
F4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
G4	0.25
G4	0.5
A4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.25
C4	0.5
D4	0.25
D#4>	0.25
F4	0.5
G4	0.5
Es	0.25
D5	0.25
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
Es	0.5
D4	0.25
D#4>	0.25
F4	0.5
G4	0.5
Es	0.25
D5	0.25
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
Es	0.5
A4	0.25
G4	0.25
F#4	0.25
D#4	0.25
D4	0.5
Es	0.25
A4	0.5
G4	0.25
F#4	0.25
D#4	0.25
D4	0.5
Es	0.25
F#4	0.5
G4	0.25
A4	0.125
A#4	0.125
A4	0.125
G4	0.125
A4	0.5
Es	0.25
F#4	0.5
G4	0.25
A4	0.125
A#4	0.125
C5	0.125
A#4	0.125
A4	0.5
Es	0.5
A4	0.25
G4	0.25
F#4	0.25
D#4	0.25
D4	0.5
Es	0.25
A4	0.5
G4	0.25
F#4	0.25
D#4	0.25
D4	0.5
Es	0.25
F#4	0.5
G4	0.25
A4	0.125
A#4	0.125
A4	0.125
G4	0.125
A4	0.5
Es	0.25
F#4	0.5
G4	0.25
A4	0.125
A#4	0.125
C5	0.125
A#4	0.125
A4	0.5
Es	0.5
F#4	0.25
G4	0.25
A4	0.25
A#4	0.25
C5	0.25
D5	0.25
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.5
F#4	0.5
D4	0.25
D#4	0.5
G4	0.125
F#4	0.125
F#4	0.125
D#4	0.125
D#4	0.125
D4	0.125
D4	0.5
Es	0.5
D5	0.25
D5	0.25
D5	0.375
C5	0.125
C5	0.375
A#4	0.125
A#4	0.375
A4	0.125
A4	0.375
G4	0.125
G4	0.25
F4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
Es	0.5
D5	0.25
D5	0.25
D5	0.375
C5	0.125
C5	0.375
A#4	0.125
A#4	0.375
A4	0.125
A4	0.375
G4	0.125
G4	0.25
F4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
G4	0.25
G4	0.5
A4	0.25
G4	0.25
F4	0.25
D#4>	0.25
D4	0.25
C4	0.5
D4	0.25
D#4>	0.25
F4	0.5
G4	0.5
Es	0.25
D5	0.25
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
Es	0.5
D4	0.25
D#4>	0.25
F4	0.5
G4	0.5
Es	0.25
D5	0.25
D5	0.25
C5	0.25
A#4	0.25
A4	0.25
G4	0.25
A4	0.25
Es	0.25
F4	0.375
D#4>	0.125
F4	0.25
G4	0.25
F4	0.125
D#4>	0.125
D#4>	0.25
D4	0.25
